"","CBSA.Code","YEAR","AGE_CATEGORY","fatality_count","rate"
"489",10740,2022,6,134,0.506558802404264
"490",10740,2012,2,1,0.0717205766334361
"491",10740,2013,3,1,0.051859150547114
"492",10740,2015,1,1,0.0337826424782946
"493",10740,2017,1,2,0.0496635295870478
"494",10740,2018,2,2,0.022018671833715
"495",10740,2020,3,1,0.0179784977167308
"496",10740,2022,2,1,0.0151208153143618
"497",10740,2012,3,1,0.0716486350935015
"498",10740,2011,1,2,0.2322340919647
"499",10740,2017,4,1,0.024823135161971
"500",10760,2010,2,1,7.46268656716418
"501",10760,2010,6,4,29.6296296296296
"502",10760,2011,6,7,1.24245651402201
"503",10760,2012,4,2,0.180979096914306
"504",10760,2012,6,8,0.723850886717336
"505",10760,2013,6,10,0.609384521633151
"506",10760,2014,4,1,0.0463134494257132
"507",10760,2014,5,2,0.0926226091789006
"508",10760,2014,6,1,0.0463091599518385
"509",10760,2015,3,1,0.0374630052822837
"510",10760,2015,6,6,0.224769611148573
"511",10760,2016,5,1,0.0312509765930185
"512",10760,2016,6,14,0.4375
"513",10760,2017,4,1,0.0267687448135557
"514",10760,2017,6,4,0.107072113068151
"515",10760,2018,2,1,0.0234604105571848
"516",10760,2018,6,7,0.164219021254633
"517",10760,2019,4,1,0.0209665583394486
"518",10760,2019,6,6,0.12579671251258
"519",10760,2020,4,1,0.0189605809522004
"520",10760,2020,6,10,0.189602214553866
"521",10760,2021,6,4,0.0690321689907497
"522",10760,2022,6,8,0.126400278080612
"523",10780,2010,2,1,0.490436488474743
"524",10780,2010,6,23,5.57846228474412
"525",10780,2011,6,28,1.86766275346852
"526",10780,2012,3,1,0.0777544514423451
"527",10780,2012,6,24,0.93164085245138
"528",10780,2013,6,16,0.439089986004007
"529",10780,2014,6,23,0.492389372952838
"530",10780,2015,2,1,0.0350557386244128
"531",10780,2015,6,21,0.367820923755977
"532",10780,2016,6,18,0.265529805720692
"533",10780,2017,6,15,0.191187529474744
"534",10780,2018,1,1,0.0225362269848782
"535",10780,2018,5,3,0.033791013843052
"536",10780,2018,6,29,0.326639108838404
"537",10780,2019,5,2,0.0202263326624933
"538",10780,2019,6,25,0.252824044577936
"539",10780,2020,6,27,0.247277656174157
"540",10780,2021,6,48,0.40103936034222
"541",10780,2022,3,2,0.0307276302851524
"542",10780,2022,6,26,0.19966517685727
"543",10780,2010,1,1,0.480538202787122
"544",10780,2010,5,1,0.48030739673391
"545",10780,2011,3,1,0.133120340788072
"546",10780,2011,4,2,0.266205244243312
"547",10780,2011,5,1,0.133084908171413
"548",10780,2012,2,1,0.0775374118011941
"549",10780,2012,4,2,0.155062800434176
"550",10780,2013,4,1,0.0548215558357546
"551",10780,2014,1,1,0.0427825789338581
"552",10780,2014,4,2,0.0855614973262032
"553",10780,2014,5,2,0.0855578370978782
"554",10780,2015,1,1,0.0350103280467738
"555",10780,2015,4,3,0.105027307099846
"556",10780,2015,5,1,0.0350078767722738
"557",10780,2016,1,1,0.0294872172913042
"558",10780,2016,4,2,0.0589726956419178
"559",10780,2016,5,1,0.0294854784018871
"560",10780,2017,3,1,0.0254803037252204
"561",10780,2017,4,2,0.0509593089917701
"562",10780,2017,5,1,0.0254790052996331
"563",10780,2018,2,1,0.0225194793496374
"564",10780,2020,3,1,0.018311999853504
"565",10780,2020,4,1,0.0183116645303058
"566",10780,2020,5,1,0.018311329219388
"567",10780,2022,2,1,0.0153543790689105
"568",10820,2010,5,1,0.410172272354389
"569",10820,2010,6,3,1.230012300123
"570",10820,2011,6,1,0.12709710218607
"571",10820,2012,3,1,0.0754773945203412
"572",10820,2012,5,4,0.30188679245283
"573",10820,2012,6,3,0.226398007697532
"574",10820,2013,5,1,0.0538184166621818
"575",10820,2014,4,1,0.0422261633307998
"576",10820,2014,6,5,0.211121901786091
"577",10820,2015,6,2,0.0692281066112842
"578",10820,2016,6,6,0.175116014359513
"579",10820,2017,6,7,0.176821258967364
"580",10820,2018,6,2,0.0447107216310471
"581",10820,2019,6,3,0.0602639561278399
"582",10820,2020,3,1,0.018204656751197
"583",10820,2020,5,1,0.0182043253477026
"584",10820,2020,6,3,0.054611981868822
"585",10820,2021,4,1,0.0166168162180126
"586",10820,2021,5,1,0.0166165401040195
"587",10820,2021,6,11,0.182778903991227
"588",10820,2022,6,5,0.0764011979707842
"589",10860,2010,6,14,1.51171579743008
"590",10860,2011,6,6,0.298492612307845
"591",10860,2012,5,2,0.0650195058517555
"592",10860,2012,6,10,0.325076392952344
"593",10860,2013,5,1,0.0486926035935141
"594",10860,2013,6,16,0.387709605505476
"595",10860,2013,7,2,0.097375724231949
"596",10860,2014,5,1,0.039042673642291
"597",10860,2014,6,14,0.272257010618023
"598",10860,2015,6,16,0.258226949209987
"599",10860,2016,6,5,0.0687663320038509
"600",10860,2017,6,9,0.108036732489046
"601",10860,2018,6,15,0.160554877657183
"602",10860,2019,4,1,0.0193490963971983
"603",10860,2019,6,6,0.0579363086846527
"604",10860,2020,3,1,0.0175817993213425
"605",10860,2020,6,8,0.0702068469227461
"606",10860,2021,4,1,0.0160820829513839
"607",10860,2021,5,1,0.0160818243221511
"608",10860,2021,6,18,0.144510990863694
"609",10860,2021,7,1,0.0160813070886402
"610",10860,2022,1,1,0.0148332740002373
"611",10860,2022,5,1,0.0148330539774834
"612",10860,2022,6,12,0.0888684820522695
"613",10860,2010,3,1,0.211954217888936
"614",10860,2010,4,1,0.211909302818394
"615",10860,2010,5,1,0.211864406779661
"616",10860,2010,7,1,0.211774671749259
"617",10860,2011,1,1,0.0986290561199329
"618",10860,2012,4,2,0.129224009821025
"619",10860,2013,4,3,0.144724781706788
"620",10860,2014,2,1,0.0387491765799977
"621",10860,2015,1,1,0.0321739969756443
"622",10860,2015,7,1,0.0321719267766947
"623",10860,2019,2,1,0.0192763652485687
"624",10860,2019,3,1,0.0192759936774741
"625",10860,2021,1,2,0.0320646423189149
"626",10900,2010,4,1,0.322997416020672
"627",10900,2010,5,3,0.417478430281102
"628",10900,2010,6,68,4.45609436435125
"629",10900,2011,5,3,0.108782362752919
"630",10900,2011,6,67,1.80973475230944
"631",10900,2012,5,8,0.183806635419539
"632",10900,2012,6,69,1.18422407579034
"633",10900,2013,3,1,0.0519777535214928
"634",10900,2013,6,67,0.841867186027518
"635",10900,2014,4,6,0.0601220477569466
"636",10900,2014,6,73,0.731448267569788
"637",10900,2015,4,4,0.044261986699273
"638",10900,2015,6,75,0.620691367424462
"639",10900,2016,4,2,0.0282925449144151
"640",10900,2016,5,5,0.0351200050572807
"641",10900,2016,6,72,0.505713864286065
