cbsa_code,cbsa_name,fatality_count,pop_under18,rate
48680,"Wildwood-The Villages, FL",7,28673,24.41321103477139
48900,"Wilmington, NC",13,125764,10.336821347921504
49020,"Winchester, VA-WV",2,41453,4.824741273249222
49180,"Winston-Salem, NC",17,320674,5.30133406512533
49340,"Worcester, MA",11,350659,3.1369507128007554
49420,"Yakima, WA",11,298255,3.688119226836097
49620,"York-Hanover, PA",14,395968,3.5356392435752384
49660,"Youngstown-Warren, OH",9,299983,3.0001700096338793
49700,"Yuba City, CA",9,96837,9.293968214628705
49740,"Yuma, AZ",10,211391,4.730570364868893
